"Year","month","SubwayLine","total_gated_entries","year"
2024,2,"MATTAPAN",67888.512,2024
2024,2,"ORANGE",1887042.8,2024
2024,2,"RED",1890266.07,2024
2024,2,"SILVER",142105.7,2024
2024,3,"BLUE",973257.499999996,2024
2024,3,"GREEN",1187413.74344777,2024
2024,3,"MATTAPAN",74662.272,2024
2024,3,"ORANGE",1908128.77999998,2024
2024,3,"RED",2258847.01,2024
2024,3,"SILVER",167005.3,2024
2024,4,"BLUE",748393.1,2024
2024,4,"GREEN",1542467.85012675,2024
2024,4,"MATTAPAN",73587.456,2024
2024,4,"ORANGE",2162527.26,2024
2024,4,"RED",2400014.79,2024
2024,4,"SILVER",168458,2024
2024,5,"BLUE",1058559.9,2024
2024,5,"GREEN",1455885.96014571,2024
2024,5,"MATTAPAN",78554.88,2024
2024,5,"ORANGE",1995476.95,2024
2024,5,"RED",2198263.69,2024
2024,5,"SILVER",142881.5,2024
2024,6,"BLUE",1047411.9,2024
2024,6,"GREEN",1496571.9101276,2024
2024,6,"MATTAPAN",79699.9679999999,2024
2024,6,"ORANGE",1603073.99,2024
2024,6,"RED",2256576.90000001,2024
2024,6,"SILVER",168648.3,2024
2024,7,"BLUE",137645.6,2024
2024,7,"GREEN",1377880.38677431,2024
2024,7,"MATTAPAN",77621.76,2024
2024,7,"ORANGE",1956328.10999999,2024
2024,7,"RED",1825064.67,2024
2024,7,"SILVER",155792.9,2024
2024,8,"BLUE",895112,2024
2024,8,"GREEN",1459178.58343513,2024
2024,8,"MATTAPAN",71423.9999999999,2024
2024,8,"ORANGE",1991380.08,2024
2024,8,"RED",2029408.87,2024
2024,8,"SILVER",148184.3,2024
2024,9,"BLUE",872758.499999998,2024
2024,9,"GREEN",1572163.38676677,2024
2024,9,"MATTAPAN",127780.992,2024
2024,9,"ORANGE",2385217.36,2024
2024,9,"RED",2153168.72,2024
2024,9,"SILVER",164615.7,2024
